Date,Open,High,Low,Close,Volume
2021-01-01,1500.0,1510.63,1479.9,1486.81,8975343
2021-01-04,1486.81,1499.71,1466.37,1472.98,3374151
2021-01-05,1472.98,1479.63,1466.1,1468.97,3949908
2021-01-06,1468.97,1491.08,1457.99,1481.71,7499998
2021-01-07,1481.71,1491.18,1449.75,1452.14,1842329
2021-01-08,1452.14,1459.23,1398.41,1404.7,1174588
2021-01-11,1404.7,1412.53,1375.52,1386.08,2033290
2021-01-12,1386.08,1400.19,1383.79,1390.87,8458136
2021-01-13,1390.87,1397.18,1347.84,1351.38,5072091
2021-01-14,1351.38,1362.28,1344.83,1357.69,2591711
2021-01-15,1357.69,1382.96,1353.98,1376.2,6393333
2021-01-18,1376.2,1387.1,1363.14,1367.78,7908008
2021-01-19,1367.78,1393.0,1354.88,1391.55,4477899
2021-01-20,1391.55,1399.87,1388.29,1393.98,3086172
2021-01-21,1393.98,1401.55,1377.67,1390.27,9677177
2021-01-22,1390.27,1406.81,1378.85,1403.95,9791249
2021-01-25,1403.95,1407.87,1371.43,1373.27,5849666
2021-01-26,1373.27,1377.89,1362.58,1364.59,3192848
2021-01-27,1364.59,1388.11,1352.13,1382.03,6545636
2021-01-28,1382.03,1384.14,1355.99,1368.78,1074804
2021-01-29,1368.78,1374.82,1338.89,1351.31,9875943
2021-02-01,1351.31,1353.87,1329.21,1340.35,7825711
2021-02-02,1340.35,1358.28,1332.38,1346.29,3985032
2021-02-03,1346.29,1352.27,1335.97,1340.71,7103807
2021-02-04,1340.71,1355.98,1337.45,1348.43,2629040
2021-02-05,1348.43,1373.87,1343.23,1366.66,3916596
2021-02-08,1366.66,1400.07,1358.0,1394.83,5866940
2021-02-09,1394.83,1396.29,1379.44,1381.72,6607968
2021-02-10,1381.72,1385.95,1358.44,1370.69,3536047
2021-02-11,1370.69,1389.81,1366.33,1378.62,7269191
2021-02-12,1378.62,1391.01,1367.84,1377.17,7525940
2021-02-15,1377.17,1382.17,1352.66,1358.61,5850224
2021-02-16,1358.61,1371.63,1301.14,1310.02,6477630
2021-02-17,1310.02,1331.01,1300.56,1324.66,3085469
2021-02-18,1324.66,1359.71,1320.96,1352.62,1533037
2021-02-19,1352.62,1361.0,1319.09,1328.1,1427709
2021-02-22,1328.1,1340.1,1324.45,1338.29,7233107
2021-02-23,1338.29,1360.83,1332.71,1350.72,7371400
2021-02-24,1350.72,1357.29,1333.9,1340.92,5817167
2021-02-25,1340.92,1363.72,1329.26,1357.85,7106428
2021-02-26,1357.85,1360.23,1329.27,1341.82,7923985
2021-03-01,1341.82,1348.05,1319.27,1326.03,9032304
2021-03-02,1326.03,1335.25,1309.2,1315.15,7508676
2021-03-03,1315.15,1338.78,1309.68,1328.28,8776604
2021-03-04,1328.28,1350.79,1318.88,1348.21,3074242
2021-03-05,1348.21,1349.75,1335.6,1338.94,6122969
2021-03-08,1338.94,1351.1,1334.7,1339.33,2766299
2021-03-09,1339.33,1341.55,1299.55,1311.41,7886608
2021-03-10,1311.41,1350.18,1300.75,1337.29,5956780
2021-03-11,1337.29,1343.78,1327.13,1341.51,3871712
2021-03-12,1341.51,1350.54,1322.51,1329.28,1638922
2021-03-15,1329.28,1356.3,1324.78,1344.84,6756911
2021-03-16,1344.84,1397.07,1338.71,1385.91,7509887
2021-03-17,1385.91,1397.28,1372.89,1395.66,1867838
2021-03-18,1395.66,1427.73,1391.68,1426.04,6600068
2021-03-19,1426.04,1434.23,1397.01,1410.22,5806799
2021-03-22,1410.22,1423.05,1384.16,1397.01,9177039
2021-03-23,1397.01,1414.27,1392.05,1412.66,6034253
2021-03-24,1412.66,1418.37,1389.8,1396.07,1454529
2021-03-25,1396.07,1443.44,1392.38,1439.99,8586288
2021-03-26,1439.99,1444.78,1429.53,1436.22,4452097
2021-03-29,1436.22,1446.58,1434.55,1436.77,8088727
2021-03-30,1436.77,1438.69,1383.86,1397.77,7517320
2021-03-31,1397.77,1415.05,1387.7,1402.0,1865630
2021-04-01,1402.0,1437.8,1400.04,1425.65,9557286
2021-04-02,1425.65,1438.49,1386.88,1388.38,9559531
2021-04-05,1388.38,1398.07,1377.35,1385.32,3969852
2021-04-06,1385.32,1391.89,1334.25,1344.31,2358454
2021-04-07,1344.31,1353.93,1333.43,1350.65,6010281
2021-04-08,1350.65,1360.52,1334.59,1337.29,6959996
2021-04-09,1337.29,1375.97,1334.96,1367.41,1117408
2021-04-12,1367.41,1369.65,1361.75,1366.53,2236541
2021-04-13,1366.53,1390.11,1358.35,1377.43,9706406
2021-04-14,1377.43,1388.28,1361.74,1363.17,6408520
2021-04-15,1363.17,1384.12,1354.79,1376.9,6194914
2021-04-16,1376.9,1410.54,1364.47,1401.24,8516669
2021-04-19,1401.24,1456.52,1398.53,1445.06,7132446
2021-04-20,1445.06,1450.15,1411.28,1423.21,4070610
2021-04-21,1423.21,1428.66,1354.24,1362.73,4335705
2021-04-22,1362.73,1402.73,1355.24,1390.52,5329394
2021-04-23,1390.52,1402.67,1379.74,1386.84,3995035
2021-04-26,1386.84,1393.41,1374.16,1388.57,7203690
2021-04-27,1388.57,1399.33,1380.26,1382.85,5083372
2021-04-28,1382.85,1414.87,1371.88,1400.96,7191081
2021-04-29,1400.96,1408.48,1385.09,1392.47,1011009
2021-04-30,1392.47,1398.62,1368.23,1375.82,2991367
2021-05-03,1375.82,1383.45,1359.07,1362.59,2000294
2021-05-04,1362.59,1433.07,1358.0,1420.32,9174244
2021-05-05,1420.32,1423.47,1409.12,1417.14,5384432
2021-05-06,1417.14,1441.39,1413.39,1427.96,5773598
2021-05-07,1427.96,1439.6,1384.09,1391.19,5584470
2021-05-10,1391.19,1395.93,1354.96,1362.57,2655464
2021-05-11,1362.57,1396.98,1349.71,1386.67,8556142
2021-05-12,1386.67,1441.92,1382.23,1428.33,8279995
2021-05-13,1428.33,1455.86,1415.85,1441.81,3760451
2021-05-14,1441.81,1450.64,1429.13,1435.0,7432975
2021-05-17,1435.0,1454.28,1431.72,1448.04,3444149
2021-05-18,1448.04,1460.81,1430.71,1440.73,2954702
2021-05-19,1440.73,1452.58,1428.58,1442.11,6647069
2021-05-20,1442.11,1452.23,1422.9,1435.48,5965440
2021-05-21,1435.48,1456.59,1430.62,1443.27,7911957
2021-05-24,1443.27,1459.85,1436.7,1450.2,1535888
2021-05-25,1450.2,1454.99,1436.85,1440.76,9524405
2021-05-26,1440.76,1484.89,1435.08,1477.98,5830165
2021-05-27,1477.98,1491.37,1430.84,1433.9,5100321
2021-05-28,1433.9,1437.24,1391.2,1392.97,7095561
2021-05-31,1392.97,1395.54,1374.21,1385.04,3341102
2021-06-01,1385.04,1409.62,1383.03,1399.92,7251936
2021-06-02,1399.92,1439.72,1386.83,1427.29,3621872
2021-06-03,1427.29,1443.28,1415.04,1429.65,4983063
2021-06-04,1429.65,1443.67,1399.55,1402.96,6996522
2021-06-07,1402.96,1408.96,1392.93,1402.4,1559031
2021-06-08,1402.4,1408.52,1362.66,1372.31,8165371
2021-06-09,1372.31,1403.68,1360.65,1390.85,3988088
2021-06-10,1390.85,1394.14,1332.27,1338.93,5985248
2021-06-11,1338.93,1343.93,1323.04,1328.7,3302743
2021-06-14,1328.7,1341.38,1309.93,1314.16,4594128
2021-06-15,1314.16,1361.83,1308.08,1353.08,4489550
2021-06-16,1353.08,1370.93,1344.74,1367.23,2718303
2021-06-17,1367.23,1375.41,1346.45,1350.09,7696674
2021-06-18,1350.09,1354.28,1303.96,1305.85,9126198
2021-06-21,1305.85,1323.85,1302.87,1311.21,6451731
2021-06-22,1311.21,1349.9,1303.85,1342.64,8851746
2021-06-23,1342.64,1349.48,1318.48,1325.42,9566554
2021-06-24,1325.42,1332.67,1311.97,1319.76,3026393
