Date,Open,High,Low,Close,Volume
2021-01-01,2600.0,2660.6,2580.47,2644.7,1952602
2021-01-04,2644.7,2757.3,2636.81,2733.58,3398901
2021-01-05,2733.58,2813.05,2709.29,2798.38,3208665
2021-01-06,2798.38,2846.97,2773.02,2836.86,1699444
2021-01-07,2836.86,2864.52,2808.81,2825.85,6237915
2021-01-08,2825.85,2851.27,2790.53,2804.78,6809281
2021-01-11,2804.78,2829.36,2797.44,2806.62,3746455
2021-01-12,2806.62,2886.26,2796.46,2858.09,6942425
2021-01-13,2858.09,2870.3,2823.02,2851.4,4869005
2021-01-14,2851.4,2917.92,2846.35,2898.54,7678213
2021-01-15,2898.54,2911.59,2852.12,2874.55,5149956
2021-01-18,2874.55,2946.39,2860.54,2920.73,9897174
2021-01-19,2920.73,2947.05,2856.93,2885.24,9962990
2021-01-20,2885.24,2947.71,2871.63,2923.82,1753523
2021-01-21,2923.82,2932.75,2863.66,2874.74,9162170
2021-01-22,2874.74,2901.05,2800.67,2826.37,3786655
2021-01-25,2826.37,2904.8,2817.95,2896.12,9222819
2021-01-26,2896.12,2912.33,2872.2,2885.91,2767588
2021-01-27,2885.91,2894.3,2851.86,2863.49,8414332
2021-01-28,2863.49,2902.83,2854.18,2885.44,6809133
2021-01-29,2885.44,2891.84,2862.25,2875.89,2429911
2021-02-01,2875.89,2901.31,2820.13,2829.89,3458020
2021-02-02,2829.89,2867.28,2817.79,2848.07,2122731
2021-02-03,2848.07,2875.88,2826.51,2855.59,9503135
2021-02-04,2855.59,2910.17,2833.11,2889.69,8733290
2021-02-05,2889.69,2897.59,2794.51,2811.87,1139648
2021-02-08,2811.87,2835.41,2788.98,2811.38,1855860
2021-02-09,2811.38,2815.61,2745.33,2772.49,7569719
2021-02-10,2772.49,2817.03,2769.05,2801.91,5007883
2021-02-11,2801.91,2809.53,2766.94,2783.97,8348227
2021-02-12,2783.97,2792.77,2762.43,2771.77,9096967
2021-02-15,2771.77,2808.5,2749.28,2791.42,8848225
2021-02-16,2791.42,2813.52,2742.03,2755.39,9987606
2021-02-17,2755.39,2777.6,2687.16,2712.56,9674106
2021-02-18,2712.56,2731.82,2703.44,2724.21,5746865
2021-02-19,2724.21,2746.75,2661.2,2685.51,5601199
2021-02-22,2685.51,2707.49,2678.55,2684.31,7055245
2021-02-23,2684.31,2715.49,2671.19,2705.43,3428581
2021-02-24,2705.43,2717.24,2695.12,2714.3,2486709
2021-02-25,2714.3,2736.98,2697.66,2703.34,2482988
2021-02-26,2703.34,2793.62,2695.48,2767.37,2789806
2021-03-01,2767.37,2776.15,2699.6,2714.3,4926427
2021-03-02,2714.3,2720.36,2598.59,2617.41,4075152
2021-03-03,2617.41,2635.85,2575.94,2588.58,9755055
2021-03-04,2588.58,2606.47,2585.34,2598.7,2653986
2021-03-05,2598.7,2624.23,2571.46,2582.84,9960774
2021-03-08,2582.84,2601.67,2529.34,2542.32,9209842
2021-03-09,2542.32,2548.21,2528.63,2534.36,6945046
2021-03-10,2534.36,2550.6,2513.4,2519.56,9416032
2021-03-11,2519.56,2528.49,2455.99,2469.79,9661978
2021-03-12,2469.79,2514.28,2448.8,2491.31,5891894
2021-03-15,2491.31,2528.29,2477.59,2518.27,7692666
2021-03-16,2518.27,2538.52,2480.31,2489.73,1757758
2021-03-17,2489.73,2585.02,2485.75,2573.13,2828864
2021-03-18,2573.13,2582.21,2551.53,2563.62,6783083
2021-03-19,2563.62,2594.33,2545.71,2579.97,4625991
2021-03-22,2579.97,2609.38,2577.08,2591.17,7444489
2021-03-23,2591.17,2594.17,2571.73,2584.55,1067952
