Date,Open,High,Low,Close,Volume
2021-01-01,950.0,962.5,948.44,957.81,7447726
2021-01-04,957.81,959.8,933.82,938.57,4103800
2021-01-05,938.57,963.03,934.89,955.27,6672745
2021-01-06,955.27,957.84,924.31,928.17,4615383
2021-01-07,928.17,935.35,921.25,932.54,9126710
2021-01-08,932.54,939.39,919.89,927.52,3677678
2021-01-11,927.52,932.42,894.18,899.96,7943122
2021-01-12,899.96,906.07,888.65,893.97,3497838
2021-01-13,893.97,900.16,884.79,892.87,4543244
2021-01-14,892.87,912.92,887.28,906.15,8566169
2021-01-15,906.15,910.96,899.16,908.05,6516182
2021-01-18,908.05,915.4,905.08,908.93,4410331
2021-01-19,908.93,939.59,904.09,935.93,1716177
2021-01-20,935.93,953.88,930.5,944.95,4019332
2021-01-21,944.95,950.21,927.66,929.12,6202753
2021-01-22,929.12,962.64,926.64,954.94,7514849
2021-01-25,954.94,957.35,952.73,954.77,8940312
2021-01-26,954.77,961.39,934.38,938.72,6204369
2021-01-27,938.72,941.5,930.84,935.96,2371242
2021-01-28,935.96,947.01,933.91,943.11,2160675
2021-01-29,943.11,954.07,941.52,952.84,3050276
2021-02-01,952.84,958.95,940.9,946.5,3016142
2021-02-02,946.5,951.65,941.9,950.65,8021982
2021-02-03,950.65,972.72,948.15,970.29,1295863
2021-02-04,970.29,993.12,969.32,985.67,4417932
2021-02-05,985.67,1009.82,977.31,999.96,5506371
2021-02-08,999.96,1008.37,992.32,1006.52,4001519
2021-02-09,1006.52,1019.77,1000.34,1012.57,2362270
2021-02-10,1012.57,1017.8,1010.08,1013.1,7868546
2021-02-11,1013.1,1036.76,1004.87,1029.36,5240843
2021-02-12,1029.36,1042.93,1028.3,1034.49,1092447
2021-02-15,1034.49,1041.08,1006.34,1010.24,3743122
2021-02-16,1010.24,1028.78,1004.38,1021.92,9165571
2021-02-17,1021.92,1027.84,1008.17,1011.61,5361909
2021-02-18,1011.61,1018.75,1006.51,1012.99,4783938
2021-02-19,1012.99,1015.12,957.57,966.61,5172975
2021-02-22,966.61,976.01,964.54,972.08,2797355
2021-02-23,972.08,975.98,949.94,956.89,8641646
2021-02-24,956.89,965.72,950.72,955.89,5494445
2021-02-25,955.89,986.38,950.34,983.02,3481498
2021-02-26,983.02,988.01,979.34,984.82,6511598
2021-03-01,984.82,992.96,970.98,978.63,7307365
2021-03-02,978.63,988.04,973.66,985.9,5567994
2021-03-03,985.9,992.99,970.54,977.08,8656575
2021-03-04,977.08,991.36,973.31,981.92,4732529
2021-03-05,981.92,1006.63,976.33,1002.83,4093348
2021-03-08,1002.83,1012.83,973.87,982.75,8137763
2021-03-09,982.75,1005.01,975.39,995.57,6176367
2021-03-10,995.57,1009.17,987.22,1002.65,8585321
2021-03-11,1002.65,1020.02,994.48,1013.3,2235340
2021-03-12,1013.3,1046.73,1003.63,1040.4,5356164
2021-03-15,1040.4,1085.42,1031.86,1075.87,9683823
2021-03-16,1075.87,1080.24,1063.31,1064.98,6769537
2021-03-17,1064.98,1086.16,1062.34,1077.98,8878239
2021-03-18,1077.98,1084.45,1061.4,1063.42,2418167
2021-03-19,1063.42,1094.83,1053.29,1086.06,2619884
2021-03-22,1086.06,1095.8,1064.77,1071.79,7117250
2021-03-23,1071.79,1085.58,1061.62,1082.72,5990533
2021-03-24,1082.72,1092.62,1072.89,1077.27,1684143
2021-03-25,1077.27,1092.98,1071.05,1083.06,5484735
2021-03-26,1083.06,1090.31,1051.78,1062.17,9620929
2021-03-29,1062.17,1069.88,1049.8,1054.12,6990842
2021-03-30,1054.12,1063.08,1043.59,1061.46,5062175
2021-03-31,1061.46,1080.56,1054.18,1071.16,4506319
2021-04-01,1071.16,1095.99,1062.16,1092.65,1502939
2021-04-02,1092.65,1100.68,1053.04,1058.99,3783993
2021-04-05,1058.99,1071.35,1053.94,1062.35,6402066
2021-04-06,1062.35,1102.7,1053.56,1093.71,9362089
2021-04-07,1093.71,1119.84,1092.12,1116.79,3751691
2021-04-08,1116.79,1125.51,1113.2,1123.63,1027690
2021-04-09,1123.63,1135.64,1122.2,1133.93,9902280
2021-04-12,1133.93,1144.77,1128.96,1137.72,1704582
2021-04-13,1137.72,1144.48,1122.2,1133.01,5056926
2021-04-14,1133.01,1136.54,1095.7,1104.02,6196134
2021-04-15,1104.02,1105.35,1081.35,1089.17,5443738
2021-04-16,1089.17,1098.51,1038.51,1039.65,4763632
2021-04-19,1039.65,1045.7,1014.61,1017.44,3548965
2021-04-20,1017.44,1019.26,1002.52,1009.91,8992339
2021-04-21,1009.91,1015.17,1001.43,1003.08,3259970
2021-04-22,1003.08,1015.49,1000.8,1007.5,9994437
2021-04-23,1007.5,1025.76,1001.21,1019.7,2069626
2021-04-26,1019.7,1026.95,1013.55,1020.21,4945747
2021-04-27,1020.21,1029.11,1012.75,1026.34,7788042
2021-04-28,1026.34,1042.94,1022.89,1032.62,8997781
2021-04-29,1032.62,1033.66,1010.96,1018.53,5270358
2021-04-30,1018.53,1040.18,1017.38,1030.14,8831144
2021-05-03,1030.14,1032.57,1005.22,1013.47,4623687
2021-05-04,1013.47,1023.02,1011.12,1016.28,7141018
2021-05-05,1016.28,1023.45,998.56,1007.05,1824026
2021-05-06,1007.05,1014.06,999.85,1003.94,1454377
2021-05-07,1003.94,1008.98,989.31,994.4,4733488
2021-05-10,994.4,1033.75,985.12,1023.93,5926788
2021-05-11,1023.93,1029.23,982.3,989.44,6090749
2021-05-12,989.44,994.83,985.63,992.34,1531562
2021-05-13,992.34,994.27,984.99,986.97,1172507
2021-05-14,986.97,1002.69,978.84,996.19,4490978
2021-05-17,996.19,1033.89,988.82,1030.12,6854508
2021-05-18,1030.12,1033.64,1023.09,1030.95,8982512
2021-05-19,1030.95,1040.85,985.16,988.05,5463588
2021-05-20,988.05,989.89,975.98,985.39,4652461
2021-05-21,985.39,991.78,969.03,972.52,1656228
2021-05-24,972.52,974.04,962.05,971.4,6618735
2021-05-25,971.4,981.01,968.78,974.57,3941449
2021-05-26,974.57,981.18,964.4,967.77,5113853
2021-05-27,967.77,977.16,958.63,966.84,3264116
2021-05-28,966.84,970.97,937.55,942.43,4059867
2021-05-31,942.43,949.56,926.84,935.89,4510940
2021-06-01,935.89,943.95,916.58,920.97,7144328
2021-06-02,920.97,936.15,919.47,934.62,6291462
2021-06-03,934.62,961.64,929.74,957.68,5825275
2021-06-04,957.68,966.86,955.25,957.21,5088770
2021-06-07,957.21,961.08,946.18,949.78,4206209
2021-06-08,949.78,963.51,944.49,960.18,5881841
2021-06-09,960.18,966.21,933.63,941.63,9414727
2021-06-10,941.63,948.17,913.39,920.19,8346585
2021-06-11,920.19,935.4,915.16,927.04,3166458
2021-06-14,927.04,939.87,924.39,937.62,6342479
2021-06-15,937.62,941.53,925.28,932.19,7243246
2021-06-16,932.19,937.72,919.93,922.05,5847828
2021-06-17,922.05,924.25,905.31,909.67,5154967
2021-06-18,909.67,916.86,862.69,868.71,3726465
2021-06-21,868.71,879.94,862.07,878.05,4568485
2021-06-22,878.05,882.86,864.82,868.37,1277132
2021-06-23,868.37,876.35,845.32,850.15,6500533
2021-06-24,850.15,858.52,843.07,851.74,6676594
2021-06-25,851.74,854.46,845.0,847.01,3123120
2021-06-28,847.01,851.28,808.62,816.58,4748688
2021-06-29,816.58,822.59,803.73,806.65,5769561
2021-06-30,806.65,810.66,795.09,796.4,2497060
2021-07-01,796.4,807.26,793.24,803.67,7896525
2021-07-02,803.67,811.66,778.2,785.75,1179300
2021-07-05,785.75,791.41,778.11,780.96,5400726
2021-07-06,780.96,798.35,775.94,791.02,8522647
