Date,Open,High,Low,Close,Volume
2021-01-01,1600.0,1614.73,1554.36,1556.48,3130118
2021-01-04,1556.48,1562.42,1524.57,1531.77,5601318
2021-01-05,1531.77,1538.45,1513.4,1527.11,2071192
2021-01-06,1527.11,1530.72,1504.19,1510.17,8778512
2021-01-07,1510.17,1565.51,1503.67,1553.8,8238225
2021-01-08,1553.8,1558.24,1523.54,1529.38,8541714
2021-01-11,1529.38,1561.09,1516.49,1548.22,9973326
2021-01-12,1548.22,1561.31,1534.17,1549.28,7297042
2021-01-13,1549.28,1555.56,1543.99,1546.41,8725166
2021-01-14,1546.41,1562.33,1533.55,1557.03,2609425
2021-01-15,1557.03,1594.18,1551.23,1580.15,1951302
2021-01-18,1580.15,1593.92,1553.9,1566.24,8139845
2021-01-19,1566.24,1585.27,1560.0,1574.03,3488144
2021-01-20,1574.03,1588.45,1569.18,1577.37,6942654
2021-01-21,1577.37,1590.34,1555.12,1568.86,3496589
2021-01-22,1568.86,1576.71,1548.99,1551.72,6359462
2021-01-25,1551.72,1583.67,1545.8,1568.75,9228736
2021-01-26,1568.75,1592.74,1566.02,1582.64,9372602
2021-01-27,1582.64,1596.47,1534.41,1549.34,7192357
2021-01-28,1549.34,1575.55,1545.08,1572.73,2029242
2021-01-29,1572.73,1581.2,1560.96,1576.94,3738384
2021-02-01,1576.94,1614.28,1563.6,1606.02,7174943
2021-02-02,1606.02,1617.82,1572.82,1587.58,6880926
2021-02-03,1587.58,1601.73,1518.97,1530.49,7562865
2021-02-04,1530.49,1533.0,1499.46,1505.71,5415239
2021-02-05,1505.71,1516.63,1468.69,1478.55,1873420
2021-02-08,1478.55,1507.46,1475.22,1500.65,6834611
2021-02-09,1500.65,1509.5,1469.71,1484.23,9369597
2021-02-10,1484.23,1492.22,1480.5,1488.43,8112646
2021-02-11,1488.43,1501.71,1443.0,1451.05,8725976
2021-02-12,1451.05,1461.16,1437.9,1447.1,5652124
2021-02-15,1447.1,1454.64,1438.01,1444.79,6227541
2021-02-16,1444.79,1465.81,1437.9,1455.85,5283664
2021-02-17,1455.85,1460.93,1443.22,1445.26,5881539
2021-02-18,1445.26,1454.46,1387.54,1401.51,8166276
2021-02-19,1401.51,1409.24,1400.08,1404.56,7077234
2021-02-22,1404.56,1405.96,1362.17,1374.87,1555839
2021-02-23,1374.87,1379.72,1354.96,1366.44,6147501
2021-02-24,1366.44,1378.33,1356.4,1374.09,3895107
2021-02-25,1374.09,1391.5,1371.82,1387.09,8907386
2021-02-26,1387.09,1420.2,1385.25,1417.37,2120113
2021-03-01,1417.37,1438.42,1415.46,1434.54,6093388
2021-03-02,1434.54,1445.51,1422.24,1432.52,5645289
2021-03-03,1432.52,1445.27,1403.62,1414.88,3029341
2021-03-04,1414.88,1428.89,1402.83,1410.37,3848039
2021-03-05,1410.37,1447.27,1399.03,1442.2,1880432
2021-03-08,1442.2,1443.73,1414.52,1421.1,2629618
2021-03-09,1421.1,1451.92,1419.44,1448.88,8694867
2021-03-10,1448.88,1453.38,1423.46,1425.76,4702590
2021-03-11,1425.76,1427.98,1404.62,1408.87,9018205
2021-03-12,1408.87,1428.75,1398.11,1417.03,9096297
2021-03-15,1417.03,1419.81,1402.41,1415.97,8014511
2021-03-16,1415.97,1452.27,1402.89,1439.88,9994359
2021-03-17,1439.88,1445.0,1408.42,1413.98,6268961
2021-03-18,1413.98,1420.24,1400.41,1417.83,4725530
2021-03-19,1417.83,1456.59,1414.63,1445.54,7485671
2021-03-22,1445.54,1457.87,1430.62,1438.56,7324758
2021-03-23,1438.56,1452.7,1424.11,1433.36,9821549
