Date,Open,High,Low,Close,Volume
2021-01-01,450.0,452.79,446.82,447.53,3683684
2021-01-04,447.53,449.72,440.25,444.37,4889200
2021-01-05,444.37,448.95,440.45,445.66,3793153
2021-01-06,445.66,447.82,441.15,444.61,5850258
2021-01-07,444.61,446.31,436.0,438.8,7918814
2021-01-08,438.8,451.78,436.95,447.38,3639668
2021-01-11,447.38,453.49,443.76,450.56,8394518
2021-01-12,450.56,454.1,440.44,443.63,2376807
2021-01-13,443.63,447.6,440.48,442.6,2759268
2021-01-14,442.6,445.55,432.58,434.93,9920966
2021-01-15,434.93,438.46,431.0,431.81,5779432
2021-01-18,431.81,440.17,431.04,437.07,4031402
2021-01-19,437.07,438.56,423.17,426.53,3141997
2021-01-20,426.53,433.34,423.43,431.18,7404892
2021-01-21,431.18,434.23,425.68,426.13,6994299
2021-01-22,426.13,427.82,420.93,424.45,8320812
2021-01-25,424.45,435.33,422.13,432.92,4161057
2021-01-26,432.92,434.64,428.01,431.95,6226047
2021-01-27,431.95,435.87,429.79,434.56,7430060
2021-01-28,434.56,436.63,419.35,422.66,8172937
2021-01-29,422.66,424.6,416.79,420.95,5335807
2021-02-01,420.95,423.42,419.37,421.39,9482784
2021-02-02,421.39,424.19,418.54,420.23,1899321
2021-02-03,420.23,424.17,416.5,419.5,4184972
2021-02-04,419.5,423.16,412.38,413.01,3741186
2021-02-05,413.01,418.15,409.54,417.15,6290299
2021-02-08,417.15,419.86,408.44,411.54,9489573
2021-02-09,411.54,417.65,410.7,415.08,6724174
2021-02-10,415.08,428.94,413.16,427.87,8851347
2021-02-11,427.87,440.12,423.83,437.78,4039382
2021-02-12,437.78,442.02,432.94,435.3,6164621
2021-02-15,435.3,437.53,426.3,429.42,7246896
2021-02-16,429.42,433.37,426.89,431.62,3972703
2021-02-17,431.62,437.3,427.5,436.43,1685305
2021-02-18,436.43,437.03,425.43,428.16,9916726
2021-02-19,428.16,430.06,417.05,420.27,3786278
2021-02-22,420.27,427.78,418.32,423.78,8259606
2021-02-23,423.78,427.87,422.54,427.38,7891313
2021-02-24,427.38,438.07,423.73,437.2,4528206
2021-02-25,437.2,444.22,435.98,439.96,7453001
2021-02-26,439.96,443.77,434.13,438.14,2523155
2021-03-01,438.14,441.51,430.05,431.8,2792803
2021-03-02,431.8,434.62,419.11,419.69,3888899
2021-03-03,419.69,422.18,413.45,417.45,3588279
2021-03-04,417.45,424.59,414.17,422.41,5930952
2021-03-05,422.41,428.11,418.71,425.52,6729908
2021-03-08,425.52,427.23,411.09,412.75,8499996
2021-03-09,412.75,416.4,410.09,412.1,7791466
2021-03-10,412.1,415.31,404.84,406.25,7672592
2021-03-11,406.25,406.98,404.73,406.19,2031810
2021-03-12,406.19,408.32,403.97,406.79,7999993
2021-03-15,406.79,411.88,403.11,410.55,2124702
2021-03-16,410.55,412.3,408.9,410.99,5330919
2021-03-17,410.99,423.76,407.25,421.54,1954183
2021-03-18,421.54,433.56,420.11,430.2,8853296
2021-03-19,430.2,433.34,428.19,429.62,4439540
2021-03-22,429.62,440.91,426.07,436.74,3738659
2021-03-23,436.74,440.27,432.46,434.26,8715613
2021-03-24,434.26,440.9,433.02,439.52,5599000
2021-03-25,439.52,441.39,436.72,438.01,5541759
2021-03-26,438.01,441.21,430.86,432.44,3648766
