Date,Open,High,Low,Close,Volume
2021-01-01,600.0,608.27,596.64,605.76,2173788
2021-01-04,605.76,608.23,592.98,596.6,8868654
2021-01-05,596.6,599.33,578.18,582.33,1802717
2021-01-06,582.33,591.21,579.75,587.82,6172186
2021-01-07,587.82,589.81,576.21,577.94,3201401
2021-01-08,577.94,579.26,570.73,571.58,4304623
2021-01-11,571.58,573.42,563.19,568.53,8764819
2021-01-12,568.53,569.25,562.58,564.87,2599333
2021-01-13,564.87,568.58,553.19,556.86,7888114
2021-01-14,556.86,558.61,553.06,555.74,2784164
2021-01-15,555.74,558.76,554.21,555.48,9735376
2021-01-18,555.48,558.07,554.21,554.93,6199540
2021-01-19,554.93,559.86,547.75,550.47,2548303
2021-01-20,550.47,552.68,543.53,544.62,3003509
2021-01-21,544.62,548.94,540.75,547.22,6195084
2021-01-22,547.22,548.34,531.47,533.61,5053915
2021-01-25,533.61,540.6,530.75,536.39,5081883
2021-01-26,536.39,541.36,529.27,533.25,1823681
2021-01-27,533.25,536.98,518.18,520.4,9179926
2021-01-28,520.4,526.11,518.42,524.34,1549690
2021-01-29,524.34,530.42,523.65,528.05,2535595
2021-02-01,528.05,531.91,511.92,516.41,8896581
2021-02-02,516.41,526.76,514.78,524.57,9812108
2021-02-03,524.57,530.51,522.6,527.3,9796166
2021-02-04,527.3,539.39,523.88,536.29,3043220
2021-02-05,536.29,541.48,526.28,529.53,2235369
2021-02-08,529.53,534.96,524.76,531.71,6343046
2021-02-09,531.71,536.57,524.61,525.16,2418038
2021-02-10,525.16,534.08,523.62,531.01,1036417
2021-02-11,531.01,531.93,519.54,523.81,2228489
2021-02-12,523.81,525.91,517.74,520.09,8044796
2021-02-15,520.09,522.75,516.67,519.11,6642136
2021-02-16,519.11,535.2,516.53,534.14,2824472
2021-02-17,534.14,537.81,529.61,533.31,1784118
2021-02-18,533.31,538.05,523.79,526.49,5818671
2021-02-19,526.49,537.89,523.99,533.21,2341915
2021-02-22,533.21,543.57,530.81,538.32,5559217
2021-02-23,538.32,545.09,537.25,542.64,4925864
2021-02-24,542.64,546.78,532.28,532.99,8196302
2021-02-25,532.99,539.68,531.73,534.71,3337427
2021-02-26,534.71,539.58,529.19,529.97,1405234
2021-03-01,529.97,539.45,528.61,538.8,4903881
2021-03-02,538.8,550.08,534.19,547.67,3559001
2021-03-03,547.67,549.61,542.95,543.76,5347320
