Date,Open,High,Low,Close,Volume
2021-01-01,3800.0,3816.95,3724.78,3744.97,5109803
2021-01-04,3744.97,3782.46,3720.98,3746.66,7040502
2021-01-05,3746.66,3801.52,3741.57,3797.63,5854042
2021-01-06,3797.63,3806.21,3772.13,3785.35,6353912
2021-01-07,3785.35,3795.82,3748.34,3772.85,8010131
2021-01-08,3772.85,3783.65,3635.17,3655.82,7869989
2021-01-11,3655.82,3685.25,3636.94,3672.16,5460276
2021-01-12,3672.16,3710.74,3651.54,3688.06,3233706
2021-01-13,3688.06,3718.91,3634.79,3655.93,5107834
2021-01-14,3655.93,3723.36,3623.51,3702.75,6837196
2021-01-15,3702.75,3721.47,3651.92,3686.45,5902444
2021-01-18,3686.45,3709.51,3668.77,3692.7,4714379
2021-01-19,3692.7,3724.09,3666.59,3711.75,9312934
2021-01-20,3711.75,3790.55,3683.94,3754.56,2520982
2021-01-21,3754.56,3805.4,3721.35,3800.22,6181377
2021-01-22,3800.22,3857.49,3769.04,3830.72,9012369
2021-01-25,3830.72,3864.68,3795.85,3841.84,9143179
2021-01-26,3841.84,3848.45,3778.75,3794.66,2372070
2021-01-27,3794.66,3922.66,3760.54,3896.1,5450252
2021-01-28,3896.1,3900.35,3808.06,3833.85,9494630
2021-01-29,3833.85,3863.83,3798.87,3855.79,1161445
2021-02-01,3855.79,3925.54,3817.53,3892.61,1684029
2021-02-02,3892.61,3899.45,3732.19,3749.41,9201428
2021-02-03,3749.41,3868.77,3738.37,3837.03,8576472
2021-02-04,3837.03,3919.73,3809.28,3886.27,2046161
2021-02-05,3886.27,3979.67,3879.67,3961.31,7983604
2021-02-08,3961.31,3988.98,3943.65,3976.9,4885250
2021-02-09,3976.9,4074.83,3940.12,4039.61,6573694
2021-02-10,4039.61,4062.77,4012.25,4034.87,7725275
2021-02-11,4034.87,4054.54,4004.79,4013.95,1807744
2021-02-12,4013.95,4018.88,3928.94,3955.88,1788443
2021-02-15,3955.88,3960.08,3912.78,3930.36,6752613
2021-02-16,3930.36,3970.44,3905.9,3936.68,5701669
2021-02-17,3936.68,4027.72,3908.35,4007.34,6217092
2021-02-18,4007.34,4014.93,3928.99,3940.33,6446079
2021-02-19,3940.33,3964.76,3922.37,3946.11,4033349
2021-02-22,3946.11,3960.33,3895.02,3930.79,7299492
2021-02-23,3930.79,4046.24,3911.15,4025.05,7049850
2021-02-24,4025.05,4043.04,4002.24,4018.57,8736484
2021-02-25,4018.57,4067.0,3995.3,4045.56,2581420
2021-02-26,4045.56,4104.55,4030.5,4084.28,7538655
2021-03-01,4084.28,4145.33,4073.68,4114.96,7898046
2021-03-02,4114.96,4140.57,3983.79,3992.79,9950668
2021-03-03,3992.79,4064.38,3971.23,4037.58,5889084
2021-03-04,4037.58,4131.29,4026.23,4104.26,3604884
2021-03-05,4104.26,4234.68,4068.66,4224.82,1239779
2021-03-08,4224.82,4348.41,4203.17,4330.3,8499412
2021-03-09,4330.3,4465.94,4304.57,4431.76,6333968
2021-03-10,4431.76,4437.56,4364.84,4407.72,8465106
2021-03-11,4407.72,4563.31,4399.59,4537.83,4070771
2021-03-12,4537.83,4575.14,4521.62,4555.2,1421280
2021-03-15,4555.2,4654.72,4532.56,4626.67,2230746
2021-03-16,4626.67,4655.33,4439.08,4478.45,2162189
2021-03-17,4478.45,4713.17,4456.1,4689.23,3381486
2021-03-18,4689.23,4763.72,4676.08,4718.4,4770183
2021-03-19,4718.4,4865.89,4695.04,4823.99,7699744
2021-03-22,4823.99,4850.98,4782.24,4814.21,3582814
2021-03-23,4814.21,4923.85,4776.35,4886.68,1953692
2021-03-24,4886.68,5085.2,4845.74,5050.85,6910184
2021-03-25,5050.85,5103.55,5036.22,5085.71,2790008
2021-03-26,5085.71,5119.76,5068.04,5076.27,8557260
2021-03-29,5076.27,5115.77,5009.14,5049.13,3531528
2021-03-30,5049.13,5126.62,5040.05,5093.39,3118433
2021-03-31,5093.39,5136.46,5069.62,5127.75,4678621
2021-04-01,5127.75,5322.76,5090.42,5290.0,9547900
2021-04-02,5290.0,5362.47,5243.34,5352.26,9852545
2021-04-05,5352.26,5395.98,5312.84,5352.35,3857281
2021-04-06,5352.35,5361.22,5262.3,5286.75,1751518
2021-04-07,5286.75,5330.27,5176.83,5225.76,3332214
2021-04-08,5225.76,5273.6,5132.02,5152.08,3250397
2021-04-09,5152.08,5178.48,5116.89,5156.72,8846613
2021-04-12,5156.72,5192.1,5118.15,5178.17,1562621
2021-04-13,5178.17,5310.84,5143.3,5279.2,2195885
2021-04-14,5279.2,5323.56,5221.09,5264.45,8386133
2021-04-15,5264.45,5313.15,5146.1,5184.91,3584182
2021-04-16,5184.91,5210.57,5138.57,5197.96,3797921
2021-04-19,5197.96,5221.98,5112.91,5122.77,7612208
2021-04-20,5122.77,5223.78,5115.49,5194.69,6134544
2021-04-21,5194.69,5204.64,5106.04,5127.79,4702418
2021-04-22,5127.79,5246.1,5082.68,5214.37,7428099
2021-04-23,5214.37,5260.58,5166.45,5234.91,7985945
2021-04-26,5234.91,5282.04,5185.85,5250.11,3141912
2021-04-27,5250.11,5328.26,5199.21,5291.24,3982410
2021-04-28,5291.24,5341.8,5188.17,5226.44,6056093
2021-04-29,5226.44,5261.5,5159.82,5211.91,3901092
2021-04-30,5211.91,5240.51,5053.13,5075.8,3870574
2021-05-03,5075.8,5138.19,5070.59,5097.73,9343528
2021-05-04,5097.73,5111.36,5003.93,5033.97,8451747
2021-05-05,5033.97,5068.79,4977.75,5004.02,6370807
2021-05-06,5004.02,5074.66,4963.16,5040.24,1501590
2021-05-07,5040.24,5051.48,4888.98,4922.77,2358097
2021-05-10,4922.77,5021.2,4874.67,4983.16,7087595
2021-05-11,4983.16,5113.11,4938.26,5098.87,1164074
2021-05-12,5098.87,5120.85,5032.96,5040.64,4287093
2021-05-13,5040.64,5083.58,4903.23,4908.79,1806564
2021-05-14,4908.79,4962.79,4866.84,4917.55,1737954
2021-05-17,4917.55,4945.97,4698.49,4728.54,8563493
2021-05-18,4728.54,4765.71,4690.98,4714.99,7990607
2021-05-19,4714.99,4769.75,4704.95,4723.53,6680820
2021-05-20,4723.53,4841.34,4702.55,4833.19,3345704
2021-05-21,4833.19,4838.78,4790.02,4807.52,4201078
2021-05-24,4807.52,4834.74,4746.46,4766.15,3772605
2021-05-25,4766.15,4926.86,4737.86,4892.77,2498339
2021-05-26,4892.77,5070.99,4886.84,5027.64,1528714
2021-05-27,5027.64,5073.94,5013.24,5055.63,5371047
2021-05-28,5055.63,5151.27,5040.19,5143.09,3189921
2021-05-31,5143.09,5151.0,5059.37,5095.26,1762371
2021-06-01,5095.26,5330.04,5046.94,5279.26,1142980
2021-06-02,5279.26,5484.7,5247.31,5447.65,8972368
2021-06-03,5447.65,5499.63,5432.6,5483.03,1764265
2021-06-04,5483.03,5536.95,5358.54,5389.5,1734275
2021-06-07,5389.5,5413.72,5276.01,5313.56,9987114
2021-06-08,5313.56,5444.3,5305.35,5412.64,4948401
2021-06-09,5412.64,5418.44,5304.01,5339.67,7850807
2021-06-10,5339.67,5369.07,5173.82,5210.9,9677828
